State	Tested	Score	Waiver
California	60.4	1492	> 20%
New York	74.9	1469	> 20%
Florida	74.3	1434	> 20%
Georgia	76.9	1450	> 20%
Texas	64.3	1410	> 20%
Nevada	49.8	1458	> 20%
Rhode Island	76.8	1472	> 20%
N. Carolina	63.2	1478	> 20%
S. Carolina	65.4	1442	> 20%
Indiana	70.9	1473	> 20%
Hawaii	61.4	1472	> 20%
New Jersey	81.4	1520	> 20%
Pennsylvania	70.6	1485	> 20%
Massachusetts	86.2	1552	> 20%
Vermont	61.3	1554	> 20%
Oregon	46.6	1546	> 20%
Arizona	34.3	1552	10-20%
Virginia	72.2	1533	10-20%
Maryland	78.7	1462	10-20%
Connecticut	89.3	1514	10-20%
Alaska	51.9	1494	10-20%
New Mexico	12.1	1623	10-20%
W. Virginia	14.7	1501	10-20%
Alabama	6.1	1616	10-20%
Washington	66.2	1496	10-20%
Mississippi	3.1	1713	10-20%
Delaware	100	1368	10-20%
New Hampshire	69.8	1566	10-20%
Louisiana	4.6	1675	10-20%
Arkansas	4.1	1688	< 10%
Ohio	13.7	1657	< 10%
Oklahoma	4.4	1693	< 10%
Kansas	4.8	1748	< 10%
Montana	15	1655	< 10%
Nebraska	3.5	1755	< 10%
Maine	95.9	1392	< 10%
Illinois	4	1802	< 10%
S. Dakota	2.8	1753	< 10%
Michigan	3.5	1788	< 10%
Missouri	3.7	1777	< 10%
Wisconsin	3.6	1771	< 10%
Minnesota	5.4	1778	< 10%
Tennessee	7	1723	< 10%
Kentucky	4	1749	< 10%
Wyoming	3.3	1737	< 10%
Iowa	2.9	1755	< 10%
Colorado	12.3	1736	< 10%
Utah	4.5	1708	< 10%
N. Dakota	1.9	1791	< 10%
Idaho	99.9	1372	< 10%
